Sprecher;[a]F1;[a]F2;[e]F1;[e]F2;[i]F1;[i]F2;[o]F1;[o]F2;[u]F1;[u]F2
1;700;1200;400;2100;250;2600;400;750;250;700
2;650;1200;250;2100;200;2250;400;750;350;750
3;850;1195;420;2240;240;2420;500;800;250;630
4;730;1240;240;2100;240;2300;390;760;220;730
5;750;1120;300;2070;240;2180;360;730;200;710
6;770;1310;460;2150;315;2560;430;830;280;750
7;770;1080;350;2100;240;1900;430;670;315;710
8;655;1200;385;2150;315;2440;360;1000;280;790
9;710;1100;380;2000;240;2100;440;735;350;760
10;820;1150;350;2100;300;2050;500;750;320;690
11;850;1150;410;2000;200;2100;500;760;200;750
12;710;1100;240;2300;200;2410;500;860;240;670
13;740;1090;290;2110;210;2180;360;790;240;760
14;790;1360;410;2090;260;2060;430;860;260;610
15;800;1200;400;2100;250;2200;350;750;300;700
16;800;1300;420;2300;300;2300;350;800;300;750
17;810;1310;350;2200;250;2300;350;700;350;750
18;790;1160;280;2300;250;2200;300;650;200;630
19;800;1120;320;2400;200;2350;350;750;290;600
20;690;1050;360;2150;220;2150;420;710;240;760
21;820;1087;380;2285;236;2122;346;630;251;567
22;750;1187;380;2348;236;2358;409;945;251;630
23;660;1150;300;2100;250;2050;350;810;290;680
24;875;1188;400;2188;313;1937;375;688;313;750
25;750;1050;350;2300;200;2000;310;700;220;750
26;710;1300;300;2100;280;2400;360;750;270;700
27;810;1230;300;2300;250;2400;300;790;240;900
28;750;1100;400;2500;250;2500;400;600;200;700
29;881;1323;504;2582;236;2594;441;724;252;503
30;860;1440;400;2750;260;2400;460;900;250;780
31;970;1420;450;2600;260;2500;410;1080;250;760
